Bike_id,Bike_Name,Price,Date_of_capture
101,"Model A",1500,2023-01-10
102,"Model B",1700,2023-02-12
103,"Model C",1600,2023-03-15
104,"Model D",1800,2023-01-20
105,"Model E",2000,2023-02-01
106,"Model F",1400,2023-03-22
107,"Model G",2100,2023-01-25
108,"Model H",1900,2023-02-18
109,"Model I",1750,2023-03-05
110,"Model J",1650,2023-01-30
111,"Model K",1550,2023-02-28
112,"Model L",1850,2023-03-19
113,"Model M",1950,2023-02-05
114,"Model N",1700,2023-03-10
115,"Model O",1800,2023-01-22
116,"Model P",1600,2023-02-16
117,"Model Q",1750,2023-03-25
118,"Model R",1900,2023-01-18
119,"Model S",2050,2023-02-11
120,"Model T",1650,2023-03-02
121,"Model U",1500,2023-01-27
122,"Model V",1850,2023-02-23
123,"Model W",1950,2023-03-07
124,"Model X",2050,2023-01-15
125,"Model Y",2200,2023-02-19
126,"Model Z",2300,2023-03-01
127,"Model AA",1650,2023-01-29
128,"Model BB",1750,2023-02-04
129,"Model CC",1850,2023-03-20
130,"Model DD",1950,2023-01-13