bike_id,bike_name,price,date_of_capture
1,"Mountain Bike",500,"2023-01-01"
2,"Road Bike",700,"2023-01-05"
3,"Electric Bike",1200,"2023-01-10"
4,"Hybrid Bike",400,"2023-01-15"
5,"BMX Bike",300,"2023-01-20"
6,"Cruiser Bike",350,"2023-01-25"
7,"Folding Bike",250,"2023-01-30"
8,"Fat Bike",600,"2023-02-01"
9,"City Bike",450,"2023-02-05"
10,"Kids Bike",200,"2023-02-10"
11,"Chopper Bike",800,"2023-02-15"
12,"Touring Bike",900,"2023-02-20"
13,"Track Bike",750,"2023-02-25"
14,"West Coast MTB",1100,"2023-03-01"
15,"Beach Cruiser",410,"2023-03-05"
16,"All-Mountain Bike",940,"2023-03-10"
17,"Dirt Jump Bike",630,"2023-03-15"
18,"Commuter Bike",470,"2023-03-20"
19,"Sport Bike",670,"2023-03-25"
20,"Cross Country Bike",880,"2023-03-30"
21,"Stunt Bike",540,"2023-04-01"
22,"Children's Balance Bike",150,"2023-04-05"
23,"Cargo Bike",700,"2023-04-10"
24,"Recumbent Bike",1100,"2023-04-15"
25,"Tricycle",300,"2023-04-20"
26,"Fat Tire Bike",650,"2023-04-25"
27,"Electric Folding Bike",1300,"2023-05-01"
28,"Mountain Tandem Bike",900,"2023-05-05"
29,"Track/Field Bike",820,"2023-05-10"
30,"Single Speed Bike",250,"2023-05-15"